,date_report,health_region,cumulative_cases
223,2020-01-27,Brant County Health Unit,0.0
179,2020-01-27,Calgary Zone,0.0
186,2020-01-27,Central Zone,0.0
224,2020-01-27,Chatham-Kent Health Unit,0.0
193,2020-01-27,City of Hamilton Health Unit,0.0
190,2020-01-27,City of Ottawa Health Unit,0.0
170,2020-01-27,City of Toronto Health Unit,2.0
177,2020-01-27,Durham Regional Health Unit,0.0
199,2020-01-27,Eastern Regional Integrated Health Authority,0.0
182,2020-01-27,Edmonton Zone,0.0
200,2020-01-27,Far North,0.0
175,2020-01-27,Fraser,0.0
209,2020-01-27,Grey Bruce Health Unit,0.0
243,2020-01-27,Haldimand-Norfolk Health Unit,0.0
201,2020-01-27,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
187,2020-01-27,Halton Regional Health Unit,0.0
229,2020-01-27,Hastings and Prince Edward Counties Health Unit,0.0
202,2020-01-27,Huron County Health Unit,0.0
174,2020-01-27,Interior,0.0
210,2020-01-27,Interlake-Eastern Regional Health Authority,0.0
219,2020-01-27,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
203,2020-01-27,Labrador-Grenfell Regional Integrated Health Authority,0.0
244,2020-01-27,Lambton Health Unit,0.0
245,2020-01-27,"Leeds, Grenville and Lanark District Health Unit",0.0
172,2020-01-27,Middlesex-London Health Unit,0.0
198,2020-01-27,Niagara Regional Area Health Unit,0.0
246,2020-01-27,North Bay Parry Sound District Health Unit,0.0
215,2020-01-27,North Zone,0.0
220,2020-01-27,Northern,0.0
232,2020-01-27,Northwest Territories,0.0
205,2020-01-27,Northwestern Health Unit,0.0
171,2020-01-27,Not Reported,0.0
184,2020-01-27,Peel Regional Health Unit,0.0
211,2020-01-27,Peterborough County - City Health Unit,0.0
231,2020-01-27,Porcupine Health Unit,0.0
240,2020-01-27,Prairie Mountain Health,0.0
206,2020-01-27,Prince Edward Island,0.0
207,2020-01-27,Regina,0.0
247,2020-01-27,Renfrew County and District Health Unit,0.0
204,2020-01-27,Région de Lanaudière,0.0
228,2020-01-27,Région de Laval,0.0
176,2020-01-27,Région de Montréal,0.0
237,2020-01-27,Région de l'Abitibi-Témiscamingue,0.0
192,2020-01-27,Région de l'Estrie,0.0
225,2020-01-27,Région de l'Outaouais,0.0
208,2020-01-27,Région de la Capitale-Nationale,0.0
191,2020-01-27,Région de la Chaudière-Appalaches,0.0
239,2020-01-27,Région de la Côte-Nord,0.0
238,2020-01-27,Région de la Gaspésie Îles-de-la-Madeleine,0.0
189,2020-01-27,Région de la Mauricie et du Centre-du-Québec,0.0
183,2020-01-27,Région de la Montérégie,0.0
180,2020-01-27,Région des Laurentides,0.0
248,2020-01-27,Région des Terres-Cries-de-la-Baie-James,0.0
227,2020-01-27,Région du Bas-Saint-Laurent,0.0
230,2020-01-27,Région du Nord-du-Québec,0.0
251,2020-01-27,Région du Nunavik,0.0
233,2020-01-27,Région du Saguenay Lac-Saint-Jean,0.0
194,2020-01-27,Saskatoon,0.0
195,2020-01-27,Simcoe Muskoka District Health Unit,0.0
216,2020-01-27,South Zone,0.0
221,2020-01-27,Southern Health,0.0
185,2020-01-27,Sudbury and District Health Unit,0.0
222,2020-01-27,The District of Algoma Health Unit,0.0
249,2020-01-27,Thunder Bay District Health Unit,0.0
252,2020-01-27,Timiskaming Health Unit,0.0
173,2020-01-27,Vancouver Coastal,0.0
188,2020-01-27,Vancouver Island,0.0
181,2020-01-27,Waterloo Health Unit,0.0
217,2020-01-27,Wellington-Dufferin-Guelph Health Unit,0.0
241,2020-01-27,Western Regional Integrated Health Authority,0.0
234,2020-01-27,Windsor-Essex County Health Unit,0.0
196,2020-01-27,Winnipeg Regional Health Authority,0.0
178,2020-01-27,York Regional Health Unit,0.0
235,2020-01-27,Yukon,0.0
197,2020-01-27,Zone 1,0.0
212,2020-01-27,Zone 1 - Western,0.0
218,2020-01-27,Zone 2,0.0
236,2020-01-27,Zone 2 - Northern,0.0
213,2020-01-27,Zone 3,0.0
226,2020-01-27,Zone 3 - Eastern,0.0
242,2020-01-27,Zone 4,0.0
214,2020-01-27,Zone 4 - Central,0.0
250,2020-01-27,Zone 5,0.0
254,2020-01-27,Zone 6,0.0
253,2020-01-27,Zone 7,0.0
308,2020-01-28,Brant County Health Unit,0.0
264,2020-01-28,Calgary Zone,0.0
271,2020-01-28,Central Zone,0.0
309,2020-01-28,Chatham-Kent Health Unit,0.0
278,2020-01-28,City of Hamilton Health Unit,0.0
275,2020-01-28,City of Ottawa Health Unit,0.0
255,2020-01-28,City of Toronto Health Unit,2.0
262,2020-01-28,Durham Regional Health Unit,0.0
284,2020-01-28,Eastern Regional Integrated Health Authority,0.0
267,2020-01-28,Edmonton Zone,0.0
285,2020-01-28,Far North,0.0
260,2020-01-28,Fraser,0.0
294,2020-01-28,Grey Bruce Health Unit,0.0
328,2020-01-28,Haldimand-Norfolk Health Unit,0.0
286,2020-01-28,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
272,2020-01-28,Halton Regional Health Unit,0.0
314,2020-01-28,Hastings and Prince Edward Counties Health Unit,0.0
287,2020-01-28,Huron County Health Unit,0.0
259,2020-01-28,Interior,0.0
295,2020-01-28,Interlake-Eastern Regional Health Authority,0.0
304,2020-01-28,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
288,2020-01-28,Labrador-Grenfell Regional Integrated Health Authority,0.0
329,2020-01-28,Lambton Health Unit,0.0
330,2020-01-28,"Leeds, Grenville and Lanark District Health Unit",0.0
257,2020-01-28,Middlesex-London Health Unit,0.0
283,2020-01-28,Niagara Regional Area Health Unit,0.0
331,2020-01-28,North Bay Parry Sound District Health Unit,0.0
300,2020-01-28,North Zone,0.0
305,2020-01-28,Northern,0.0
317,2020-01-28,Northwest Territories,0.0
290,2020-01-28,Northwestern Health Unit,0.0
256,2020-01-28,Not Reported,1.0
269,2020-01-28,Peel Regional Health Unit,0.0
296,2020-01-28,Peterborough County - City Health Unit,0.0
316,2020-01-28,Porcupine Health Unit,0.0
325,2020-01-28,Prairie Mountain Health,0.0
291,2020-01-28,Prince Edward Island,0.0
292,2020-01-28,Regina,0.0
332,2020-01-28,Renfrew County and District Health Unit,0.0
289,2020-01-28,Région de Lanaudière,0.0
313,2020-01-28,Région de Laval,0.0
261,2020-01-28,Région de Montréal,0.0
322,2020-01-28,Région de l'Abitibi-Témiscamingue,0.0
277,2020-01-28,Région de l'Estrie,0.0
310,2020-01-28,Région de l'Outaouais,0.0
293,2020-01-28,Région de la Capitale-Nationale,0.0
276,2020-01-28,Région de la Chaudière-Appalaches,0.0
324,2020-01-28,Région de la Côte-Nord,0.0
323,2020-01-28,Région de la Gaspésie Îles-de-la-Madeleine,0.0
274,2020-01-28,Région de la Mauricie et du Centre-du-Québec,0.0
268,2020-01-28,Région de la Montérégie,0.0
265,2020-01-28,Région des Laurentides,0.0
333,2020-01-28,Région des Terres-Cries-de-la-Baie-James,0.0
312,2020-01-28,Région du Bas-Saint-Laurent,0.0
315,2020-01-28,Région du Nord-du-Québec,0.0
336,2020-01-28,Région du Nunavik,0.0
318,2020-01-28,Région du Saguenay Lac-Saint-Jean,0.0
279,2020-01-28,Saskatoon,0.0
280,2020-01-28,Simcoe Muskoka District Health Unit,0.0
301,2020-01-28,South Zone,0.0
306,2020-01-28,Southern Health,0.0
270,2020-01-28,Sudbury and District Health Unit,0.0
307,2020-01-28,The District of Algoma Health Unit,0.0
334,2020-01-28,Thunder Bay District Health Unit,0.0
337,2020-01-28,Timiskaming Health Unit,0.0
258,2020-01-28,Vancouver Coastal,0.0
273,2020-01-28,Vancouver Island,0.0
266,2020-01-28,Waterloo Health Unit,0.0
302,2020-01-28,Wellington-Dufferin-Guelph Health Unit,0.0
326,2020-01-28,Western Regional Integrated Health Authority,0.0
319,2020-01-28,Windsor-Essex County Health Unit,0.0
281,2020-01-28,Winnipeg Regional Health Authority,0.0
263,2020-01-28,York Regional Health Unit,0.0
320,2020-01-28,Yukon,0.0
282,2020-01-28,Zone 1,0.0
297,2020-01-28,Zone 1 - Western,0.0
303,2020-01-28,Zone 2,0.0
321,2020-01-28,Zone 2 - Northern,0.0
298,2020-01-28,Zone 3,0.0
311,2020-01-28,Zone 3 - Eastern,0.0
327,2020-01-28,Zone 4,0.0
299,2020-01-28,Zone 4 - Central,0.0
335,2020-01-28,Zone 5,0.0
339,2020-01-28,Zone 6,0.0
338,2020-01-28,Zone 7,0.0
393,2020-01-29,Brant County Health Unit,0.0
349,2020-01-29,Calgary Zone,0.0
356,2020-01-29,Central Zone,0.0
394,2020-01-29,Chatham-Kent Health Unit,0.0
363,2020-01-29,City of Hamilton Health Unit,0.0
360,2020-01-29,City of Ottawa Health Unit,0.0
340,2020-01-29,City of Toronto Health Unit,2.0
347,2020-01-29,Durham Regional Health Unit,0.0
369,2020-01-29,Eastern Regional Integrated Health Authority,0.0
352,2020-01-29,Edmonton Zone,0.0
370,2020-01-29,Far North,0.0
345,2020-01-29,Fraser,0.0
379,2020-01-29,Grey Bruce Health Unit,0.0
413,2020-01-29,Haldimand-Norfolk Health Unit,0.0
371,2020-01-29,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
357,2020-01-29,Halton Regional Health Unit,0.0
399,2020-01-29,Hastings and Prince Edward Counties Health Unit,0.0
372,2020-01-29,Huron County Health Unit,0.0
344,2020-01-29,Interior,0.0
380,2020-01-29,Interlake-Eastern Regional Health Authority,0.0
389,2020-01-29,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
373,2020-01-29,Labrador-Grenfell Regional Integrated Health Authority,0.0
414,2020-01-29,Lambton Health Unit,0.0
415,2020-01-29,"Leeds, Grenville and Lanark District Health Unit",0.0
342,2020-01-29,Middlesex-London Health Unit,0.0
368,2020-01-29,Niagara Regional Area Health Unit,0.0
416,2020-01-29,North Bay Parry Sound District Health Unit,0.0
385,2020-01-29,North Zone,0.0
390,2020-01-29,Northern,0.0
402,2020-01-29,Northwest Territories,0.0
375,2020-01-29,Northwestern Health Unit,0.0
341,2020-01-29,Not Reported,1.0
354,2020-01-29,Peel Regional Health Unit,0.0
381,2020-01-29,Peterborough County - City Health Unit,0.0
401,2020-01-29,Porcupine Health Unit,0.0
410,2020-01-29,Prairie Mountain Health,0.0
376,2020-01-29,Prince Edward Island,0.0
377,2020-01-29,Regina,0.0
417,2020-01-29,Renfrew County and District Health Unit,0.0
374,2020-01-29,Région de Lanaudière,0.0
398,2020-01-29,Région de Laval,0.0
346,2020-01-29,Région de Montréal,0.0
407,2020-01-29,Région de l'Abitibi-Témiscamingue,0.0
362,2020-01-29,Région de l'Estrie,0.0
395,2020-01-29,Région de l'Outaouais,0.0
378,2020-01-29,Région de la Capitale-Nationale,0.0
361,2020-01-29,Région de la Chaudière-Appalaches,0.0
409,2020-01-29,Région de la Côte-Nord,0.0
408,2020-01-29,Région de la Gaspésie Îles-de-la-Madeleine,0.0
359,2020-01-29,Région de la Mauricie et du Centre-du-Québec,0.0
353,2020-01-29,Région de la Montérégie,0.0
350,2020-01-29,Région des Laurentides,0.0
418,2020-01-29,Région des Terres-Cries-de-la-Baie-James,0.0
397,2020-01-29,Région du Bas-Saint-Laurent,0.0
400,2020-01-29,Région du Nord-du-Québec,0.0
421,2020-01-29,Région du Nunavik,0.0
403,2020-01-29,Région du Saguenay Lac-Saint-Jean,0.0
364,2020-01-29,Saskatoon,0.0
365,2020-01-29,Simcoe Muskoka District Health Unit,0.0
386,2020-01-29,South Zone,0.0
391,2020-01-29,Southern Health,0.0
355,2020-01-29,Sudbury and District Health Unit,0.0
392,2020-01-29,The District of Algoma Health Unit,0.0
419,2020-01-29,Thunder Bay District Health Unit,0.0
422,2020-01-29,Timiskaming Health Unit,0.0
343,2020-01-29,Vancouver Coastal,0.0
358,2020-01-29,Vancouver Island,0.0
351,2020-01-29,Waterloo Health Unit,0.0
387,2020-01-29,Wellington-Dufferin-Guelph Health Unit,0.0
411,2020-01-29,Western Regional Integrated Health Authority,0.0
404,2020-01-29,Windsor-Essex County Health Unit,0.0
366,2020-01-29,Winnipeg Regional Health Authority,0.0
348,2020-01-29,York Regional Health Unit,0.0
405,2020-01-29,Yukon,0.0
367,2020-01-29,Zone 1,0.0
382,2020-01-29,Zone 1 - Western,0.0
388,2020-01-29,Zone 2,0.0
406,2020-01-29,Zone 2 - Northern,0.0
383,2020-01-29,Zone 3,0.0
396,2020-01-29,Zone 3 - Eastern,0.0
412,2020-01-29,Zone 4,0.0
384,2020-01-29,Zone 4 - Central,0.0
420,2020-01-29,Zone 5,0.0
424,2020-01-29,Zone 6,0.0
423,2020-01-29,Zone 7,0.0
478,2020-01-30,Brant County Health Unit,0.0
434,2020-01-30,Calgary Zone,0.0
441,2020-01-30,Central Zone,0.0
479,2020-01-30,Chatham-Kent Health Unit,0.0
448,2020-01-30,City of Hamilton Health Unit,0.0
445,2020-01-30,City of Ottawa Health Unit,0.0
425,2020-01-30,City of Toronto Health Unit,2.0
432,2020-01-30,Durham Regional Health Unit,0.0
454,2020-01-30,Eastern Regional Integrated Health Authority,0.0
437,2020-01-30,Edmonton Zone,0.0
455,2020-01-30,Far North,0.0
430,2020-01-30,Fraser,0.0
464,2020-01-30,Grey Bruce Health Unit,0.0
498,2020-01-30,Haldimand-Norfolk Health Unit,0.0
456,2020-01-30,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
442,2020-01-30,Halton Regional Health Unit,0.0
484,2020-01-30,Hastings and Prince Edward Counties Health Unit,0.0
457,2020-01-30,Huron County Health Unit,0.0
429,2020-01-30,Interior,0.0
465,2020-01-30,Interlake-Eastern Regional Health Authority,0.0
474,2020-01-30,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
458,2020-01-30,Labrador-Grenfell Regional Integrated Health Authority,0.0
499,2020-01-30,Lambton Health Unit,0.0
500,2020-01-30,"Leeds, Grenville and Lanark District Health Unit",0.0
427,2020-01-30,Middlesex-London Health Unit,0.0
453,2020-01-30,Niagara Regional Area Health Unit,0.0
501,2020-01-30,North Bay Parry Sound District Health Unit,0.0
470,2020-01-30,North Zone,0.0
475,2020-01-30,Northern,0.0
487,2020-01-30,Northwest Territories,0.0
460,2020-01-30,Northwestern Health Unit,0.0
426,2020-01-30,Not Reported,1.0
439,2020-01-30,Peel Regional Health Unit,0.0
466,2020-01-30,Peterborough County - City Health Unit,0.0
486,2020-01-30,Porcupine Health Unit,0.0
495,2020-01-30,Prairie Mountain Health,0.0
461,2020-01-30,Prince Edward Island,0.0
462,2020-01-30,Regina,0.0
502,2020-01-30,Renfrew County and District Health Unit,0.0
459,2020-01-30,Région de Lanaudière,0.0
483,2020-01-30,Région de Laval,0.0
431,2020-01-30,Région de Montréal,0.0
492,2020-01-30,Région de l'Abitibi-Témiscamingue,0.0
447,2020-01-30,Région de l'Estrie,0.0
480,2020-01-30,Région de l'Outaouais,0.0
463,2020-01-30,Région de la Capitale-Nationale,0.0
446,2020-01-30,Région de la Chaudière-Appalaches,0.0
494,2020-01-30,Région de la Côte-Nord,0.0
493,2020-01-30,Région de la Gaspésie Îles-de-la-Madeleine,0.0
444,2020-01-30,Région de la Mauricie et du Centre-du-Québec,0.0
438,2020-01-30,Région de la Montérégie,0.0
435,2020-01-30,Région des Laurentides,0.0
503,2020-01-30,Région des Terres-Cries-de-la-Baie-James,0.0
482,2020-01-30,Région du Bas-Saint-Laurent,0.0
485,2020-01-30,Région du Nord-du-Québec,0.0
506,2020-01-30,Région du Nunavik,0.0
488,2020-01-30,Région du Saguenay Lac-Saint-Jean,0.0
449,2020-01-30,Saskatoon,0.0
450,2020-01-30,Simcoe Muskoka District Health Unit,0.0
471,2020-01-30,South Zone,0.0
476,2020-01-30,Southern Health,0.0
440,2020-01-30,Sudbury and District Health Unit,0.0
477,2020-01-30,The District of Algoma Health Unit,0.0
504,2020-01-30,Thunder Bay District Health Unit,0.0
507,2020-01-30,Timiskaming Health Unit,0.0
428,2020-01-30,Vancouver Coastal,0.0
443,2020-01-30,Vancouver Island,0.0
436,2020-01-30,Waterloo Health Unit,0.0
472,2020-01-30,Wellington-Dufferin-Guelph Health Unit,0.0
496,2020-01-30,Western Regional Integrated Health Authority,0.0
489,2020-01-30,Windsor-Essex County Health Unit,0.0
451,2020-01-30,Winnipeg Regional Health Authority,0.0
433,2020-01-30,York Regional Health Unit,0.0
490,2020-01-30,Yukon,0.0
452,2020-01-30,Zone 1,0.0
467,2020-01-30,Zone 1 - Western,0.0
473,2020-01-30,Zone 2,0.0
491,2020-01-30,Zone 2 - Northern,0.0
468,2020-01-30,Zone 3,0.0
481,2020-01-30,Zone 3 - Eastern,0.0
497,2020-01-30,Zone 4,0.0
469,2020-01-30,Zone 4 - Central,0.0
505,2020-01-30,Zone 5,0.0
509,2020-01-30,Zone 6,0.0
508,2020-01-30,Zone 7,0.0
563,2020-01-31,Brant County Health Unit,0.0
519,2020-01-31,Calgary Zone,0.0
526,2020-01-31,Central Zone,0.0
564,2020-01-31,Chatham-Kent Health Unit,0.0
533,2020-01-31,City of Hamilton Health Unit,0.0
530,2020-01-31,City of Ottawa Health Unit,0.0
510,2020-01-31,City of Toronto Health Unit,2.0
517,2020-01-31,Durham Regional Health Unit,0.0
539,2020-01-31,Eastern Regional Integrated Health Authority,0.0
522,2020-01-31,Edmonton Zone,0.0
540,2020-01-31,Far North,0.0
515,2020-01-31,Fraser,0.0
549,2020-01-31,Grey Bruce Health Unit,0.0
583,2020-01-31,Haldimand-Norfolk Health Unit,0.0
541,2020-01-31,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
527,2020-01-31,Halton Regional Health Unit,0.0
569,2020-01-31,Hastings and Prince Edward Counties Health Unit,0.0
542,2020-01-31,Huron County Health Unit,0.0
514,2020-01-31,Interior,0.0
550,2020-01-31,Interlake-Eastern Regional Health Authority,0.0
559,2020-01-31,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
543,2020-01-31,Labrador-Grenfell Regional Integrated Health Authority,0.0
584,2020-01-31,Lambton Health Unit,0.0
585,2020-01-31,"Leeds, Grenville and Lanark District Health Unit",0.0
512,2020-01-31,Middlesex-London Health Unit,1.0
538,2020-01-31,Niagara Regional Area Health Unit,0.0
586,2020-01-31,North Bay Parry Sound District Health Unit,0.0
555,2020-01-31,North Zone,0.0
560,2020-01-31,Northern,0.0
572,2020-01-31,Northwest Territories,0.0
545,2020-01-31,Northwestern Health Unit,0.0
511,2020-01-31,Not Reported,1.0
524,2020-01-31,Peel Regional Health Unit,0.0
551,2020-01-31,Peterborough County - City Health Unit,0.0
571,2020-01-31,Porcupine Health Unit,0.0
580,2020-01-31,Prairie Mountain Health,0.0
546,2020-01-31,Prince Edward Island,0.0
547,2020-01-31,Regina,0.0
587,2020-01-31,Renfrew County and District Health Unit,0.0
544,2020-01-31,Région de Lanaudière,0.0
568,2020-01-31,Région de Laval,0.0
516,2020-01-31,Région de Montréal,0.0
577,2020-01-31,Région de l'Abitibi-Témiscamingue,0.0
532,2020-01-31,Région de l'Estrie,0.0
565,2020-01-31,Région de l'Outaouais,0.0
548,2020-01-31,Région de la Capitale-Nationale,0.0
531,2020-01-31,Région de la Chaudière-Appalaches,0.0
579,2020-01-31,Région de la Côte-Nord,0.0
578,2020-01-31,Région de la Gaspésie Îles-de-la-Madeleine,0.0
